referee,date,venue_name,venue_city,round,home_team,away_team,home_win,away_win,home_goals,away_goals,home_goals_half_time,away_goals_half_time,home_goals_fulltime,away_goals_fulltime,home_goals_extra_time,away_goals_extratime,home_goals_penalty,away_goals_penalty
Luis Santander,2022-07-02,Estadio Victoria,Aguascalientes,Apertura - 1,Necaxa,Toluca,False,True,1,3,1,2,1,3,0,0,0,0
Daniel Quintero,2022-07-02,Estadio de Mazatlán,Mazatlán,Apertura - 1,Mazatlán,Puebla,False,True,2,4,0,2,2,4,0,0,0,0
Ismael López,2022-07-02,Estadio AKRON,Zapopan,Apertura - 1,Guadalajara Chivas,FC Juarez,False,False,0,0,0,0,0,0,0,0,0,0
Oscar Mejia,2022-07-03,Estadio Universitario de Nuevo León,San Nicolás de los Garza,Apertura - 1,Tigres UANL,Cruz Azul,False,True,2,3,0,1,2,3,0,0,0,0
Fernando Guerrero,2022-07-03,Estadio Azteca,Ciudad de Mexico,Apertura - 1,Club America,Atlas,False,False,0,0,0,0,0,0,0,0,0,0
Adonai Escobedo,2022-07-03,Estadio Olímpico Universitario,Ciudad de Mexico,Apertura - 1,U.N.A.M. - Pumas,Club Tijuana,False,False,1,1,0,1,1,1,0,0,0,0
Fernando Hernandez,2022-07-03,Estadio Alfonso Lastras Ramírez,San Luis Potosí,Apertura - 1,Atletico San Luis,Leon,False,True,1,2,0,1,1,2,0,0,0,0
Jorge Perez,2022-07-04,Estadio TSM Corona,Torreón,Apertura - 1,Santos Laguna,Monterrey,True,False,4,3,2,2,4,3,0,0,0,0
Cesar Ramos,2022-07-05,Estadio Hidalgo,Pachuca,Apertura - 1,Pachuca,Club Queretaro,True,False,2,0,1,0,2,0,0,0,0,0
Adonai Escobedo,2022-07-09,Estadio de Mazatlán,Mazatlán,Apertura - 2,Mazatlán,Tigres UANL,False,True,0,1,0,1,0,1,0,0,0,0
Cesar Ramos,2022-07-09,Estadio Cuauhtémoc,Puebla,Apertura - 2,Puebla,Santos Laguna,True,False,1,0,1,0,1,0,0,0,0,0
Oscar Macías,2022-07-09,Estadio Caliente,Tijuana,Apertura - 2,Club Tijuana,FC Juarez,False,True,0,2,0,0,0,2,0,0,0,0
Oscar Mejia,2022-07-10,Estadio AKRON,Zapopan,Apertura - 2,Guadalajara Chivas,Atletico San Luis,False,True,0,1,0,1,0,1,0,0,0,0
Victor Caceres,2022-07-10,Estadio Azteca,Ciudad de Mexico,Apertura - 2,Cruz Azul,Pachuca,False,True,1,2,0,2,1,2,0,0,0,0
Marco Ortíz,2022-07-10,Estadio BBVA,Monterrey,Apertura - 2,Monterrey,Club America,True,False,3,2,1,2,3,2,0,0,0,0
Fernando Hernandez,2022-07-10,Estadio Nemesio Díez,Toluca,Apertura - 2,Toluca,Atlas,True,False,3,2,3,1,3,2,0,0,0,0
Fernando Guerrero,2022-07-10,Estadio La Corregidora,Queretaro,Apertura - 2,Club Queretaro,Necaxa,False,True,1,2,1,1,1,2,0,0,0,0
Jesús López,2022-07-10,Estadio Nou Camp,Leon,Apertura - 2,Leon,U.N.A.M. - Pumas,False,False,3,3,0,2,3,3,0,0,0,0
Adonai Escobedo,2022-07-14,Estadio Azteca,Ciudad de Mexico,Apertura - 3,Club America,Toluca,True,False,1,0,0,0,1,0,0,0,0,0
Erick Miranda,2022-07-16,Estadio Cuauhtémoc,Puebla,Apertura - 3,Puebla,Leon,False,False,1,1,1,0,1,1,0,0,0,0
Eduardo Galvan,2022-07-16,Estadio Olímpico Benito Juárez,Ciudad Juárez,Apertura - 3,FC Juarez,Club Queretaro,False,False,1,1,1,1,1,1,0,0,0,0
Oscar Macías,2022-07-16,Estadio Jalisco,Guadalajara,Apertura - 3,Atlas,Cruz Azul,True,False,3,2,1,1,3,2,0,0,0,0
Marco Ortíz,2022-07-17,Estadio TSM Corona,Torreón,Apertura - 3,Santos Laguna,Guadalajara Chivas,False,False,1,1,0,0,1,1,0,0,0,0
Daniel Quintero,2022-07-17,Estadio Olímpico Universitario,Ciudad de Mexico,Apertura - 3,U.N.A.M. - Pumas,Necaxa,True,False,1,0,1,0,1,0,0,0,0,0
Fernando Guerrero,2022-07-17,Estadio Alfonso Lastras Ramírez,San Luis Potosí,Apertura - 3,Atletico San Luis,Monterrey,False,True,0,1,0,0,0,1,0,0,0,0
Victor Caceres,2022-07-18,Estadio Universitario de Nuevo León,San Nicolás de los Garza,Apertura - 3,Tigres UANL,Club Tijuana,True,False,1,0,0,0,1,0,0,0,0,0
Jorge Camacho,2022-07-19,Estadio Hidalgo,Pachuca,Apertura - 3,Pachuca,Mazatlán,False,False,1,1,0,0,1,1,0,0,0,0
Jorge Perez,2022-07-21,Estadio AKRON,Zapopan,Apertura - 4,Guadalajara Chivas,Leon,False,False,0,0,0,0,0,0,0,0,0,0
Luis Santander,2022-07-22,Estadio La Corregidora,Queretaro,Apertura - 4,Club Queretaro,Monterrey,False,True,0,3,0,1,0,3,0,0,0,0
Ismael López,2022-07-23,Estadio de Mazatlán,Mazatlán,Apertura - 4,Mazatlán,Atletico San Luis,False,False,1,1,1,1,1,1,0,0,0,0
Cesar Ramos,2022-07-23,Estadio Victoria,Aguascalientes,Apertura - 4,Necaxa,FC Juarez,True,False,1,0,1,0,1,0,0,0,0,0
Diego Montaño,2022-07-23,Estadio Nemesio Díez,Toluca,Apertura - 4,Toluca,Santos Laguna,True,False,2,1,2,0,2,1,0,0,0,0
Fernando Guerrero,2022-07-24,Estadio Azteca,Ciudad de Mexico,Apertura - 4,Cruz Azul,Puebla,False,False,2,2,2,2,2,2,0,0,0,0
Marco Ortíz,2022-07-24,Estadio Universitario de Nuevo León,San Nicolás de los Garza,Apertura - 4,Tigres UANL,Atlas,True,False,2,0,2,0,2,0,0,0,0,0
Fernando Hernandez,2022-07-24,Estadio Caliente,Tijuana,Apertura - 4,Club Tijuana,Club America,True,False,2,0,1,0,2,0,0,0,0,0
Brian Gonzalez,2022-07-25,Estadio Hidalgo,Pachuca,Apertura - 4,Pachuca,U.N.A.M. - Pumas,False,False,0,0,0,0,0,0,0,0,0,0
Diego Montaño,2022-07-27,Estadio Jalisco,Guadalajara,Apertura - 5,Atlas,Club Tijuana,False,True,1,2,1,2,1,2,0,0,0,0
Oscar Macías,2022-07-27,Estadio BBVA,Monterrey,Apertura - 5,Monterrey,Puebla,True,False,1,0,1,0,1,0,0,0,0,0
Fernando Hernandez,2022-07-27,Estadio Olímpico Benito Juárez,Ciudad Juárez,Apertura - 5,FC Juarez,Tigres UANL,False,True,0,1,0,1,0,1,0,0,0,0
Adonai Escobedo,2022-07-27,Estadio Alfonso Lastras Ramírez,San Luis Potosí,Apertura - 5,Atletico San Luis,Cruz Azul,False,False,0,0,0,0,0,0,0,0,0,0
Guillermo Pacheco,2022-07-27,Estadio Nou Camp,Leon,Apertura - 5,Leon,Toluca,False,True,0,1,0,0,0,1,0,0,0,0
Cesar Ramos,2022-07-28,Estadio La Corregidora,Queretaro,Apertura - 5,Club Queretaro,Guadalajara Chivas,False,False,2,2,1,1,2,2,0,0,0,0
Jorge Perez,2022-07-28,Estadio Victoria,Aguascalientes,Apertura - 5,Necaxa,Pachuca,True,False,2,0,1,0,2,0,0,0,0,0
Luis Santander,2022-07-28,Estadio Olímpico Universitario,Ciudad de Mexico,Apertura - 5,U.N.A.M. - Pumas,Mazatlán,False,False,1,1,0,0,1,1,0,0,0,0
Fernando Hernandez,2022-09-15,Estadio Azteca,Ciudad de Mexico,Apertura - 5,Club America,Santos Laguna,False,False,3,3,1,2,3,3,0,0,0,0
Fernando Guerrero,2022-07-30,Estadio Olímpico Benito Juárez,Ciudad Juárez,Apertura - 6,FC Juarez,Toluca,False,False,1,1,0,0,1,1,0,0,0,0
Erick Miranda,2022-07-30,Estadio Azteca,Ciudad de Mexico,Apertura - 6,Cruz Azul,Necaxa,True,False,1,0,1,0,1,0,0,0,0,0
Ismael López,2022-07-31,Estadio Universitario de Nuevo León,San Nicolás de los Garza,Apertura - 6,Tigres UANL,Club Queretaro,True,False,2,1,1,1,2,1,0,0,0,0
Adonai Escobedo,2022-07-31,Estadio AKRON,Zapopan,Apertura - 6,Guadalajara Chivas,Pachuca,False,False,0,0,0,0,0,0,0,0,0,0
Marco Ortíz,2022-07-31,Estadio Cuauhtémoc,Puebla,Apertura - 6,Puebla,Atletico San Luis,False,False,0,0,0,0,0,0,0,0,0,0
Daniel Quintero,2022-07-31,Estadio Caliente,Tijuana,Apertura - 6,Club Tijuana,Mazatlán,True,False,2,0,0,0,2,0,0,0,0,0
Diego Montaño,2022-07-31,Estadio Olímpico Universitario,Ciudad de Mexico,Apertura - 6,U.N.A.M. - Pumas,Monterrey,False,False,1,1,1,1,1,1,0,0,0,0
Cesar Ramos,2022-08-01,Estadio TSM Corona,Torreón,Apertura - 6,Santos Laguna,Atlas,True,False,1,0,0,0,1,0,0,0,0,0
Oscar Macías,2022-08-01,Estadio Nou Camp,Leon,Apertura - 6,Leon,Club America,True,False,3,2,1,1,3,2,0,0,0,0
Fernando Guerrero,2022-08-05,Estadio Jalisco,Guadalajara,Apertura - 7,Atlas,Club Queretaro,True,False,3,1,0,1,3,1,0,0,0,0
Adonai Escobedo,2022-09-24,Estadio Cuauhtémoc,Puebla,Apertura - 7,Puebla,U.N.A.M. - Pumas,True,False,2,1,2,0,2,1,0,0,0,0
Jorge Camacho,2022-08-06,Estadio de Mazatlán,Mazatlán,Apertura - 7,Mazatlán,Guadalajara Chivas,True,False,2,1,0,0,2,1,0,0,0,0
Marco Ortíz,2022-08-07,Estadio BBVA,Monterrey,Apertura - 7,Monterrey,Leon,True,False,5,1,3,0,5,1,0,0,0,0
Luis Santander,2022-08-08,Estadio Azteca,Ciudad de Mexico,Apertura - 7,Club America,FC Juarez,True,False,2,1,0,0,2,1,0,0,0,0
Oscar Macías,2022-08-07,Estadio TSM Corona,Torreón,Apertura - 7,Santos Laguna,Cruz Azul,True,False,4,0,1,0,4,0,0,0,0,0
Cesar Ramos,2022-08-07,Estadio Nemesio Díez,Toluca,Apertura - 7,Toluca,Club Tijuana,True,False,3,1,1,1,3,1,0,0,0,0
Eduardo Galvan,2022-08-07,Estadio Alfonso Lastras Ramírez,San Luis Potosí,Apertura - 7,Atletico San Luis,Necaxa,False,True,1,2,1,2,1,2,0,0,0,0
Daniel Quintero,2022-08-07,Estadio Hidalgo,Pachuca,Apertura - 7,Pachuca,Tigres UANL,True,False,2,0,1,0,2,0,0,0,0,0
Erick Miranda,2022-08-12,Estadio La Corregidora,Queretaro,Apertura - 8,Club Queretaro,Atletico San Luis,False,False,1,1,0,0,1,1,0,0,0,0
Guillermo Pacheco,2022-08-13,Estadio Victoria,Aguascalientes,Apertura - 8,Necaxa,Monterrey,False,True,1,2,1,0,1,2,0,0,0,0
Luis Santander,2022-08-13,Estadio Caliente,Tijuana,Apertura - 8,Club Tijuana,Puebla,False,False,3,3,1,1,3,3,0,0,0,0
Victor Caceres,2022-09-15,Estadio Olímpico Benito Juárez,Ciudad Juárez,Apertura - 8,FC Juarez,Pachuca,True,False,2,1,2,1,2,1,0,0,0,0
Eduardo Galvan,2022-08-13,Estadio Nou Camp,Leon,Apertura - 8,Leon,Mazatlán,False,True,0,3,0,3,0,3,0,0,0,0
Adonai Escobedo,2022-08-14,Estadio Olímpico Universitario,Ciudad de Mexico,Apertura - 8,U.N.A.M. - Pumas,Club America,False,True,0,3,0,1,0,3,0,0,0,0
Marco Ortíz,2022-08-14,Estadio AKRON,Zapopan,Apertura - 8,Guadalajara Chivas,Atlas,False,False,1,1,0,0,1,1,0,0,0,0
Fernando Hernandez,2022-08-14,Estadio Azteca,Ciudad de Mexico,Apertura - 8,Cruz Azul,Toluca,False,True,2,3,1,2,2,3,0,0,0,0
Diego Montaño,2022-08-15,Estadio Universitario de Nuevo León,San Nicolás de los Garza,Apertura - 8,Tigres UANL,Santos Laguna,True,False,2,0,1,0,2,0,0,0,0,0
Adonai Escobedo,2022-08-17,Estadio Jalisco,Guadalajara,Apertura - 9,Atlas,FC Juarez,False,True,0,1,0,0,0,1,0,0,0,0
Luis Santander,2022-08-17,Estadio de Mazatlán,Mazatlán,Apertura - 9,Mazatlán,Club Queretaro,False,False,1,1,0,0,1,1,0,0,0,0
Fernando Guerrero,2022-08-17,Estadio Cuauhtémoc,Puebla,Apertura - 9,Puebla,Necaxa,False,False,2,2,1,0,2,2,0,0,0,0
Daniel Quintero,2022-08-18,Estadio Nemesio Díez,Toluca,Apertura - 9,Toluca,Monterrey,False,False,1,1,1,0,1,1,0,0,0,0
Diego Montaño,2022-08-18,Estadio Azteca,Ciudad de Mexico,Apertura - 9,Cruz Azul,Club Tijuana,False,True,1,2,1,1,1,2,0,0,0,0
Cesar Ramos,2022-08-18,Estadio Hidalgo,Pachuca,Apertura - 9,Pachuca,Club America,False,True,0,3,0,1,0,3,0,0,0,0
Victor Caceres,2022-08-19,Estadio TSM Corona,Torreón,Apertura - 9,Santos Laguna,Leon,True,False,2,1,1,1,2,1,0,0,0,0
Oscar Macías,2022-08-19,Estadio Alfonso Lastras Ramírez,San Luis Potosí,Apertura - 9,Atletico San Luis,U.N.A.M. - Pumas,True,False,3,2,1,2,3,2,0,0,0,0
Fernando Guerrero,2022-09-14,Estadio AKRON,Zapopan,Apertura - 9,Guadalajara Chivas,Tigres UANL,False,True,1,4,0,2,1,4,0,0,0,0
Oscar Mejia,2022-08-20,Estadio Victoria,Aguascalientes,Apertura - 10,Necaxa,Guadalajara Chivas,False,True,0,4,0,2,0,4,0,0,0,0
Daniel Quintero,2022-08-21,Estadio Olímpico Benito Juárez,Ciudad Juárez,Apertura - 10,FC Juarez,Mazatlán,False,False,1,1,0,1,1,1,0,0,0,0
Guillermo Pacheco,2022-08-20,Estadio La Corregidora,Queretaro,Apertura - 10,Club Queretaro,Club Tijuana,True,False,2,0,1,0,2,0,0,0,0,0
Cesar Ramos,2022-08-21,Estadio Jalisco,Guadalajara,Apertura - 10,Atlas,Puebla,False,False,1,1,1,1,1,1,0,0,0,0
Fernando Guerrero,2022-08-21,Estadio BBVA,Monterrey,Apertura - 10,Monterrey,Tigres UANL,False,False,0,0,0,0,0,0,0,0,0,0
Luis Santander,2022-08-21,Estadio Azteca,Ciudad de Mexico,Apertura - 10,Club America,Cruz Azul,True,False,7,0,3,0,7,0,0,0,0,0
Marco Ortíz,2022-08-21,Estadio Olímpico Universitario,Ciudad de Mexico,Apertura - 10,U.N.A.M. - Pumas,Santos Laguna,False,True,1,5,0,3,1,5,0,0,0,0
Diego Montaño,2022-08-21,Estadio Alfonso Lastras Ramírez,San Luis Potosí,Apertura - 10,Atletico San Luis,Toluca,True,False,1,0,1,0,1,0,0,0,0,0
Ismael López,2022-08-22,Estadio Hidalgo,Pachuca,Apertura - 10,Pachuca,Leon,True,False,1,0,0,0,1,0,0,0,0,0
Marco Ortíz,2022-08-27,Estadio Cuauhtémoc,Puebla,Apertura - 11,Puebla,FC Juarez,False,False,2,2,1,1,2,2,0,0,0,0
Erick Miranda,2022-08-27,Estadio de Mazatlán,Mazatlán,Apertura - 11,Mazatlán,Club America,False,True,1,3,1,2,1,3,0,0,0,0
Daniel Quintero,2022-08-27,Estadio Azteca,Ciudad de Mexico,Apertura - 11,Cruz Azul,Club Queretaro,True,False,2,1,1,0,2,1,0,0,0,0
Fernando Hernandez,2022-08-28,Estadio Universitario de Nuevo León,San Nicolás de los Garza,Apertura - 11,Tigres UANL,Necaxa,False,False,0,0,0,0,0,0,0,0,0,0
Diego Montaño,2022-08-28,Estadio AKRON,Zapopan,Apertura - 11,Guadalajara Chivas,U.N.A.M. - Pumas,True,False,3,1,3,1,3,1,0,0,0,0
Guillermo Pacheco,2022-08-28,Estadio Nemesio Díez,Toluca,Apertura - 11,Toluca,Pachuca,False,True,1,4,0,2,1,4,0,0,0,0
Fernando Guerrero,2022-08-29,Estadio TSM Corona,Torreón,Apertura - 11,Santos Laguna,Atletico San Luis,True,False,4,1,1,0,4,1,0,0,0,0
Oscar Macías,2022-08-29,Estadio Nou Camp,Leon,Apertura - 11,Leon,Atlas,True,False,4,2,1,1,4,2,0,0,0,0
Brian Gonzalez,2022-08-29,Estadio Caliente,Tijuana,Apertura - 11,Club Tijuana,Monterrey,False,True,0,3,0,0,0,3,0,0,0,0
Daniel Quintero,2022-09-02,Estadio Alfonso Lastras Ramírez,San Luis Potosí,Apertura - 12,Atletico San Luis,Club Tijuana,False,False,0,0,0,0,0,0,0,0,0,0
Ismael López,2022-09-02,Estadio La Corregidora,Queretaro,Apertura - 12,Club Queretaro,Puebla,False,False,1,1,1,0,1,1,0,0,0,0
Marco Ortíz,2022-09-03,Estadio Victoria,Aguascalientes,Apertura - 12,Necaxa,Leon,True,False,3,2,3,0,3,2,0,0,0,0
Brian Gonzalez,2022-09-03,Estadio Olímpico Benito Juárez,Ciudad Juárez,Apertura - 12,FC Juarez,Cruz Azul,False,False,2,2,0,2,2,2,0,0,0,0
Fernando Hernandez,2022-09-03,Estadio Hidalgo,Pachuca,Apertura - 12,Pachuca,Santos Laguna,True,False,2,0,0,0,2,0,0,0,0,0
Victor Caceres,2022-09-04,Estadio BBVA,Monterrey,Apertura - 12,Monterrey,Mazatlán,False,False,0,0,0,0,0,0,0,0,0,0
Luis Santander,2022-09-04,Estadio Jalisco,Guadalajara,Apertura - 12,Atlas,U.N.A.M. - Pumas,False,False,0,0,0,0,0,0,0,0,0,0
Diego Montaño,2022-09-04,Estadio Azteca,Ciudad de Mexico,Apertura - 12,Club America,Tigres UANL,True,False,2,1,2,1,2,1,0,0,0,0
Cesar Ramos,2022-09-04,Estadio Nemesio Díez,Toluca,Apertura - 12,Toluca,Guadalajara Chivas,False,False,0,0,0,0,0,0,0,0,0,0
Jorge Camacho,2022-09-07,Estadio Nou Camp,Leon,Apertura - 13,Leon,FC Juarez,True,False,1,0,0,0,1,0,0,0,0,0
Daniel Quintero,2022-09-07,Estadio TSM Corona,Torreón,Apertura - 13,Santos Laguna,Necaxa,True,False,3,1,1,0,3,1,0,0,0,0
Oscar Mejia,2022-09-07,Estadio BBVA,Monterrey,Apertura - 13,Monterrey,Cruz Azul,True,False,3,2,2,1,3,2,0,0,0,0
Victor Caceres,2022-09-07,Estadio Azteca,Ciudad de Mexico,Apertura - 13,Club America,Atletico San Luis,True,False,3,0,1,0,3,0,0,0,0,0
Adonai Escobedo,2022-09-08,Estadio Cuauhtémoc,Puebla,Apertura - 13,Puebla,Pachuca,False,False,2,2,1,0,2,2,0,0,0,0
Marco Ortíz,2022-09-08,Estadio Universitario de Nuevo León,San Nicolás de los Garza,Apertura - 13,Tigres UANL,Toluca,True,False,3,1,1,0,3,1,0,0,0,0
Cesar Ramos,2022-09-08,Estadio Olímpico Universitario,Ciudad de Mexico,Apertura - 13,U.N.A.M. - Pumas,Club Queretaro,True,False,4,1,1,1,4,1,0,0,0,0
Guillermo Pacheco,2022-09-08,Estadio Caliente,Tijuana,Apertura - 13,Club Tijuana,Guadalajara Chivas,False,True,1,2,0,0,1,2,0,0,0,0
Fernando Hernandez,2022-09-08,Estadio de Mazatlán,Mazatlán,Apertura - 13,Mazatlán,Atlas,True,False,1,0,1,0,1,0,0,0,0,0
Fernando Guerrero,2022-09-11,Estadio Victoria,Aguascalientes,Apertura - 14,Necaxa,Club America,False,True,1,2,1,0,1,2,0,0,0,0
Diego Montaño,2022-09-10,Estadio Olímpico Benito Juárez,Ciudad Juárez,Apertura - 14,FC Juarez,Monterrey,False,True,0,1,0,0,0,1,0,0,0,0
Luis Santander,2022-09-10,Estadio La Corregidora,Queretaro,Apertura - 14,Club Queretaro,Santos Laguna,False,False,3,3,2,1,3,3,0,0,0,0
Adonai Escobedo,2022-09-11,Estadio Universitario de Nuevo León,San Nicolás de los Garza,Apertura - 14,Tigres UANL,Leon,False,True,0,1,0,1,0,1,0,0,0,0
Fernando Hernandez,2022-09-11,Estadio Nemesio Díez,Toluca,Apertura - 14,Toluca,U.N.A.M. - Pumas,False,False,2,2,0,1,2,2,0,0,0,0
Daniel Quintero,2022-09-11,Estadio AKRON,Zapopan,Apertura - 14,Guadalajara Chivas,Puebla,True,False,1,0,0,0,1,0,0,0,0,0
Cesar Ramos,2022-09-11,Estadio Azteca,Ciudad de Mexico,Apertura - 14,Cruz Azul,Mazatlán,True,False,2,0,2,0,2,0,0,0,0,0
Oscar Mejia,2022-09-11,Estadio Jalisco,Guadalajara,Apertura - 14,Atlas,Atletico San Luis,False,True,1,3,1,0,1,3,0,0,0,0
Oscar Macías,2022-09-12,Estadio Hidalgo,Pachuca,Apertura - 14,Pachuca,Club Tijuana,True,False,6,1,2,0,6,1,0,0,0,0
Cesar Ramos,2022-09-17,Estadio Cuauhtémoc,Puebla,Apertura - 15,Puebla,Tigres UANL,True,False,2,1,2,1,2,1,0,0,0,0
Daniel Quintero,2022-09-17,Estadio de Mazatlán,Mazatlán,Apertura - 15,Mazatlán,Toluca,False,False,1,1,1,0,1,1,0,0,0,0
Luis Santander,2022-09-19,Estadio Alfonso Lastras Ramírez,San Luis Potosí,Apertura - 15,Atletico San Luis,Pachuca,False,True,1,2,1,1,1,2,0,0,0,0
Marco Ortíz,2022-09-18,Estadio BBVA,Monterrey,Apertura - 15,Monterrey,Atlas,True,False,2,0,0,0,2,0,0,0,0,0
Adonai Escobedo,2022-09-18,Estadio Azteca,Ciudad de Mexico,Apertura - 15,Club America,Guadalajara Chivas,True,False,2,1,1,0,2,1,0,0,0,0
Fernando Guerrero,2022-09-18,Estadio Olímpico Universitario,Ciudad de Mexico,Apertura - 15,U.N.A.M. - Pumas,Cruz Azul,False,True,1,2,0,2,1,2,0,0,0,0
Oscar Macías,2022-09-19,Estadio TSM Corona,Torreón,Apertura - 15,Santos Laguna,FC Juarez,True,False,2,0,1,0,2,0,0,0,0,0
Oscar Mejia,2022-09-19,Estadio Nou Camp,Leon,Apertura - 15,Leon,Club Queretaro,True,False,3,1,2,1,3,1,0,0,0,0
Diego Montaño,2022-09-19,Estadio Caliente,Tijuana,Apertura - 15,Club Tijuana,Necaxa,False,False,1,1,1,1,1,1,0,0,0,0
Victor Caceres,2022-08-03,Estadio Nemesio Díez,Toluca,Apertura - 16,Toluca,Puebla,False,False,1,1,0,1,1,1,0,0,0,0
Oscar Macías,2022-08-04,Estadio Olímpico Benito Juárez,Ciudad Juárez,Apertura - 16,FC Juarez,Atletico San Luis,False,False,1,1,0,1,1,1,0,0,0,0
Luis Santander,2022-08-24,Estadio AKRON,Zapopan,Apertura - 16,Guadalajara Chivas,Monterrey,True,False,1,0,0,0,1,0,0,0,0,0
Victor Caceres,2022-08-24,Estadio La Corregidora,Queretaro,Apertura - 16,Club Queretaro,Club America,False,True,0,1,0,0,0,1,0,0,0,0
Marco Ortíz,2022-09-16,Estadio Azteca,Ciudad de Mexico,Apertura - 16,Cruz Azul,Leon,True,False,2,1,0,0,2,1,0,0,0,0
Oscar Mejia,2022-08-25,Estadio Olímpico Universitario,Ciudad de Mexico,Apertura - 16,U.N.A.M. - Pumas,Tigres UANL,False,False,1,1,0,0,1,1,0,0,0,0
Fernando Guerrero,2022-08-26,Estadio Hidalgo,Pachuca,Apertura - 16,Pachuca,Atlas,True,False,3,1,0,0,3,1,0,0,0,0
Adonai Escobedo,2022-08-26,Estadio Caliente,Tijuana,Apertura - 16,Club Tijuana,Santos Laguna,False,True,0,2,0,0,0,2,0,0,0,0
Fernando Hernandez,2022-09-24,Estadio Victoria,Aguascalientes,Apertura - 16,Necaxa,Mazatlán,False,False,2,2,1,2,2,2,0,0,0,0
Marco Ortíz,2022-10-01,Estadio Cuauhtémoc,Puebla,Apertura - 17,Puebla,Club America,False,True,1,2,0,1,1,2,0,0,0,0
Daniel Quintero,2022-10-01,Estadio Olímpico Benito Juárez,Ciudad Juárez,Apertura - 17,FC Juarez,U.N.A.M. - Pumas,True,False,3,1,2,1,3,1,0,0,0,0
Oscar Mejia,2022-10-01,Estadio Alfonso Lastras Ramírez,San Luis Potosí,Apertura - 17,Atletico San Luis,Tigres UANL,False,True,0,3,0,0,0,3,0,0,0,0
Fernando Hernandez,2022-10-01,Estadio BBVA,Monterrey,Apertura - 17,Monterrey,Pachuca,False,False,0,0,0,0,0,0,0,0,0,0
Victor Caceres,2022-10-02,Estadio Jalisco,Guadalajara,Apertura - 17,Atlas,Necaxa,True,False,1,0,0,0,1,0,0,0,0,0
Cesar Ramos,2022-10-02,Estadio Azteca,Ciudad de Mexico,Apertura - 17,Cruz Azul,Guadalajara Chivas,True,False,2,1,1,0,2,1,0,0,0,0
Edgar Morales,2022-10-02,Estadio Nemesio Díez,Toluca,Apertura - 17,Toluca,Club Queretaro,True,False,4,1,2,0,4,1,0,0,0,0
Adonai Escobedo,2022-10-02,Estadio TSM Corona,Torreón,Apertura - 17,Santos Laguna,Mazatlán,True,False,3,0,0,0,3,0,0,0,0,0
Luis Santander,2022-10-03,Estadio Nou Camp,Leon,Apertura - 17,Leon,Club Tijuana,False,False,2,2,0,0,2,2,0,0,0,0
Cesar Ramos,2022-10-09,Estadio Universitario de Nuevo León,San Nicolás de los Garza,Apertura - Reclasificación,Tigres UANL,Necaxa,True,False,2,0,0,0,2,0,0,0,0,0
Marco Ortíz,2022-10-09,Estadio Nemesio Díez,Toluca,Apertura - Reclasificación,Toluca,FC Juarez,True,False,3,0,1,0,3,0,0,0,0,0
Fernando Guerrero,2022-10-09,Estadio Azteca,Ciudad de Mexico,Apertura - Reclasificación,Cruz Azul,Leon,True,False,1,0,0,0,1,0,0,0,0,0
Luis Santander,2022-10-09,Estadio Cuauhtémoc,Puebla,Apertura - Reclasificación,Puebla,Guadalajara Chivas,True,False,1,1,0,0,1,1,0,0,5,4
Victor Caceres,2022-10-13,Estadio Azteca,Ciudad de Mexico,Apertura - Quarter-finals,Cruz Azul,Monterrey,False,False,0,0,0,0,0,0,0,0,0,0
Adonai Escobedo,2022-10-16,Estadio BBVA,Monterrey,Apertura - Quarter-finals,Monterrey,Cruz Azul,True,False,3,0,1,0,3,0,0,0,0,0
Diego Montaño,2022-10-14,Estadio Nemesio Díez,Toluca,Apertura - Quarter-finals,Toluca,Santos Laguna,True,False,4,3,2,2,4,3,0,0,0,0
Luis Santander,2022-10-17,Estadio TSM Corona,Torreón,Apertura - Quarter-finals,Santos Laguna,Toluca,False,True,1,2,0,0,1,2,0,0,0,0
Marco Ortíz,2022-10-13,Estadio Cuauhtémoc,Puebla,Apertura - Quarter-finals,Puebla,Club America,False,True,1,6,1,2,1,6,0,0,0,0
Daniel Quintero,2022-10-16,Estadio Azteca,Ciudad de Mexico,Apertura - Quarter-finals,Club America,Puebla,True,False,5,1,2,1,5,1,0,0,0,0
Fernando Hernandez,2022-10-14,Estadio Universitario de Nuevo León,San Nicolás de los Garza,Apertura - Quarter-finals,Tigres UANL,Pachuca,True,False,1,0,0,0,1,0,0,0,0,0
Fernando Guerrero,2022-10-17,Estadio Hidalgo,Pachuca,Apertura - Quarter-finals,Pachuca,Tigres UANL,True,False,2,1,1,0,2,1,0,0,0,0
Marco Ortíz,2022-10-20,Estadio Nemesio Díez,Toluca,Apertura - Semi-finals,Toluca,Club America,True,False,2,1,2,0,2,1,0,0,0,0
Adonai Escobedo,2022-10-23,Estadio Azteca,Ciudad de Mexico,Apertura - Semi-finals,Club America,Toluca,False,False,1,1,1,1,1,1,0,0,0,0
Cesar Ramos,2022-10-21,Estadio Hidalgo,Pachuca,Apertura - Semi-finals,Pachuca,Monterrey,True,False,5,2,2,2,5,2,0,0,0,0
Luis Santander,2022-10-24,Estadio BBVA,Monterrey,Apertura - Semi-finals,Monterrey,Pachuca,False,True,0,1,0,0,0,1,0,0,0,0
